"Дата, время","Ручей 7: Уровень металла в кристаллизаторе, мм","Ручей 8: Уровень металла в кристаллизаторе, мм"
08.02.2025 17:36,655,713
08.02.2025 17:37,635,623
08.02.2025 17:38,726,627
08.02.2025 17:39,733,704
08.02.2025 17:40,664,735
08.02.2025 17:41,771,694
08.02.2025 17:42,627,786
08.02.2025 17:43,675,776
08.02.2025 17:44,673,651
08.02.2025 17:45,750,782
08.02.2025 17:46,679,792
08.02.2025 17:47,659,681
08.02.2025 17:48,770,630
08.02.2025 17:49,711,777
08.02.2025 17:50,741,628
08.02.2025 17:51,730,674
08.02.2025 17:52,671,645
08.02.2025 17:53,814,740
08.02.2025 17:54,658,800
08.02.2025 17:55,641,686
08.02.2025 17:56,702,742
08.02.2025 17:57,713,735
08.02.2025 17:58,668,727
08.02.2025 17:59,815,696
08.02.2025 18:00,727,761
08.02.2025 18:01,748,625
08.02.2025 18:02,700,758
08.02.2025 18:03,704,758
08.02.2025 18:04,754,776
08.02.2025 18:05,681,686
08.02.2025 18:06,644,708
08.02.2025 18:07,624,696
08.02.2025 18:08,764,641
08.02.2025 18:09,712,675
08.02.2025 18:10,738,659
08.02.2025 18:11,808,776
08.02.2025 18:12,713,816
08.02.2025 18:13,744,750
08.02.2025 18:14,771,678
08.02.2025 18:15,728,810
08.02.2025 18:16,651,672
08.02.2025 18:17,755,656
08.02.2025 18:18,704,675
08.02.2025 18:19,706,650
08.02.2025 18:20,817,769
08.02.2025 18:21,750,812
08.02.2025 18:22,659,673
08.02.2025 18:23,709,658
08.02.2025 18:24,720,688
08.02.2025 18:25,661,711
08.02.2025 18:26,714,648
08.02.2025 18:27,647,811
08.02.2025 18:28,790,763
08.02.2025 18:29,651,743
08.02.2025 18:30,763,717
08.02.2025 18:31,745,744
08.02.2025 18:32,673,660
08.02.2025 18:33,736,638
08.02.2025 18:34,694,629
08.02.2025 18:35,783,768
08.02.2025 18:36,803,659
08.02.2025 18:37,744,679
08.02.2025 18:38,790,710
08.02.2025 18:39,789,803
08.02.2025 18:40,657,758
08.02.2025 18:41,626,797
08.02.2025 18:42,695,707
08.02.2025 18:43,786,642
08.02.2025 18:44,623,715
08.02.2025 18:45,702,656
08.02.2025 18:46,761,806
08.02.2025 18:47,712,624
08.02.2025 18:48,733,666
08.02.2025 18:49,790,649
08.02.2025 18:50,659,790
08.02.2025 18:51,761,749
08.02.2025 18:52,748,773
08.02.2025 18:53,645,794
08.02.2025 18:54,696,809
08.02.2025 18:55,707,671
08.02.2025 18:56,729,752
08.02.2025 18:57,626,728
08.02.2025 18:58,693,784
08.02.2025 18:59,661,752
08.02.2025 19:00,769,627
08.02.2025 19:01,678,787
08.02.2025 19:02,664,759
08.02.2025 19:03,719,725
08.02.2025 19:04,787,661
08.02.2025 19:05,625,762
08.02.2025 19:06,802,739
08.02.2025 19:07,725,699
08.02.2025 19:08,681,712
08.02.2025 19:09,752,810
08.02.2025 19:10,781,636
08.02.2025 19:11,661,682
08.02.2025 19:12,790,690
08.02.2025 19:13,714,693
08.02.2025 19:14,687,626
08.02.2025 19:15,707,788
08.02.2025 19:16,672,639
08.02.2025 19:17,709,685
08.02.2025 19:18,645,778
08.02.2025 19:19,651,796
08.02.2025 19:20,815,633
08.02.2025 19:21,621,728
08.02.2025 19:22,688,664
08.02.2025 19:23,639,776
08.02.2025 19:24,708,698
08.02.2025 19:25,734,642
08.02.2025 19:26,715,764
08.02.2025 19:27,796,736
08.02.2025 19:28,698,742
08.02.2025 19:29,676,784
08.02.2025 19:30,722,703
08.02.2025 19:31,722,791
08.02.2025 19:32,744,652
08.02.2025 19:33,705,657
08.02.2025 19:34,819,780
08.02.2025 19:35,704,687
08.02.2025 19:36,653,811
08.02.2025 19:37,695,765
08.02.2025 19:38,704,681
08.02.2025 19:39,731,623
08.02.2025 19:40,714,631
08.02.2025 19:41,745,695
08.02.2025 19:42,771,797
08.02.2025 19:43,799,710
08.02.2025 19:44,635,755
08.02.2025 19:45,630,677
08.02.2025 19:46,769,754
08.02.2025 19:47,780,638
08.02.2025 19:48,654,637
08.02.2025 19:49,678,620
08.02.2025 19:50,655,817
08.02.2025 19:51,674,715
08.02.2025 19:52,729,647
08.02.2025 19:53,658,694
08.02.2025 19:54,791,770
08.02.2025 19:55,765,684
08.02.2025 19:56,679,762
08.02.2025 19:57,791,765
08.02.2025 19:58,659,691
08.02.2025 19:59,801,694
08.02.2025 20:00,756,810
08.02.2025 20:01,635,639
08.02.2025 20:02,752,790
08.02.2025 20:03,814,710
08.02.2025 20:04,668,719
08.02.2025 20:05,734,810
08.02.2025 20:06,813,629
08.02.2025 20:07,708,813
08.02.2025 20:08,623,655
08.02.2025 20:09,778,702
08.02.2025 20:10,793,727
08.02.2025 20:11,680,651
08.02.2025 20:12,720,623
08.02.2025 20:13,651,736
08.02.2025 20:14,791,642
08.02.2025 20:15,621,718
08.02.2025 20:16,768,633
08.02.2025 20:17,768,691
08.02.2025 20:18,661,752
08.02.2025 20:19,723,633
08.02.2025 20:20,663,669
08.02.2025 20:21,647,710
08.02.2025 20:22,680,740
08.02.2025 20:23,740,720
08.02.2025 20:24,676,810
08.02.2025 20:25,724,786
08.02.2025 20:26,817,748
08.02.2025 20:27,665,648
08.02.2025 20:28,799,666
08.02.2025 20:29,802,651
08.02.2025 20:30,666,654
08.02.2025 20:31,648,673
08.02.2025 20:32,645,691
08.02.2025 20:33,647,692
08.02.2025 20:34,681,668
08.02.2025 20:35,817,765
08.02.2025 20:36,780,731
08.02.2025 20:37,724,741
08.02.2025 20:38,788,746
08.02.2025 20:39,772,672
08.02.2025 20:40,786,737
08.02.2025 20:41,731,774
08.02.2025 20:42,771,621
08.02.2025 20:43,644,639
08.02.2025 20:44,761,777
08.02.2025 20:45,735,643
08.02.2025 20:46,697,635
08.02.2025 20:47,790,747
08.02.2025 20:48,790,685
08.02.2025 20:49,782,751
08.02.2025 20:50,779,639
08.02.2025 20:51,650,765
08.02.2025 20:52,645,774
08.02.2025 20:53,810,667
08.02.2025 20:54,758,723
08.02.2025 20:55,648,721
08.02.2025 20:56,750,714
08.02.2025 20:57,683,630
08.02.2025 20:58,812,693
08.02.2025 20:59,756,749
08.02.2025 21:00,731,757
08.02.2025 21:01,694,667
08.02.2025 21:02,728,709
08.02.2025 21:03,715,664
08.02.2025 21:04,711,770
08.02.2025 21:05,817,792
08.02.2025 21:06,780,747
08.02.2025 21:07,747,741
08.02.2025 21:08,807,657
08.02.2025 21:09,684,635
08.02.2025 21:10,698,803
08.02.2025 21:11,678,647
08.02.2025 21:12,676,625
08.02.2025 21:13,672,685
08.02.2025 21:14,760,706
08.02.2025 21:15,783,804
08.02.2025 21:16,639,636
08.02.2025 21:17,763,664
08.02.2025 21:18,809,815
08.02.2025 21:19,722,805
08.02.2025 21:20,691,639
08.02.2025 21:21,690,698
08.02.2025 21:22,819,765
08.02.2025 21:23,704,641
08.02.2025 21:24,759,776
08.02.2025 21:25,750,642
08.02.2025 21:26,723,805
08.02.2025 21:27,696,663
08.02.2025 21:28,657,720
08.02.2025 21:29,783,711
08.02.2025 21:30,786,654
08.02.2025 21:31,631,666
08.02.2025 21:32,763,817
08.02.2025 21:33,739,814
08.02.2025 21:34,819,679
08.02.2025 21:35,792,764
08.02.2025 21:36,664,783
08.02.2025 21:37,655,722
08.02.2025 21:38,682,680
08.02.2025 21:39,796,758
08.02.2025 21:40,743,624
08.02.2025 21:41,764,811
08.02.2025 21:42,766,743
08.02.2025 21:43,819,659
08.02.2025 21:44,719,734
08.02.2025 21:45,739,810
08.02.2025 21:46,815,702
08.02.2025 21:47,673,746
08.02.2025 21:48,641,649
08.02.2025 21:49,681,777
08.02.2025 21:50,784,655
08.02.2025 21:51,665,627
08.02.2025 21:52,641,790
08.02.2025 21:53,763,708
08.02.2025 21:54,757,714
08.02.2025 21:55,701,646
08.02.2025 21:56,749,685
08.02.2025 21:57,802,764
08.02.2025 21:58,622,627
08.02.2025 21:59,803,633
08.02.2025 22:00,667,740
08.02.2025 22:01,624,792
08.02.2025 22:02,642,743
08.02.2025 22:03,760,689
08.02.2025 22:04,759,799
08.02.2025 22:05,649,812
08.02.2025 22:06,692,804
08.02.2025 22:07,665,629
08.02.2025 22:08,634,753
08.02.2025 22:09,643,748
08.02.2025 22:10,793,758
08.02.2025 22:11,781,751
08.02.2025 22:12,723,794
08.02.2025 22:13,725,791
08.02.2025 22:14,791,798
08.02.2025 22:15,628,668
08.02.2025 22:16,714,632
08.02.2025 22:17,691,686
08.02.2025 22:18,720,747
08.02.2025 22:19,626,785
08.02.2025 22:20,799,703
08.02.2025 22:21,656,747
08.02.2025 22:22,668,635
08.02.2025 22:23,780,630
08.02.2025 22:24,687,652
08.02.2025 22:25,753,725
08.02.2025 22:26,762,807
08.02.2025 22:27,641,628
08.02.2025 22:28,791,715
08.02.2025 22:29,625,776
08.02.2025 22:30,687,812
08.02.2025 22:31,649,688
08.02.2025 22:32,798,646
08.02.2025 22:33,815,671
08.02.2025 22:34,812,759
08.02.2025 22:35,801,687
08.02.2025 22:36,623,702
08.02.2025 22:37,808,676
08.02.2025 22:38,780,790
08.02.2025 22:39,653,738
08.02.2025 22:40,764,785
08.02.2025 22:41,643,667
08.02.2025 22:42,715,723
08.02.2025 22:43,772,745
08.02.2025 22:44,724,660
08.02.2025 22:45,664,620
08.02.2025 22:46,799,649
08.02.2025 22:47,720,721
08.02.2025 22:48,805,689
08.02.2025 22:49,792,656
08.02.2025 22:50,819,647
08.02.2025 22:51,658,672
08.02.2025 22:52,809,656
08.02.2025 22:53,768,745
08.02.2025 22:54,711,682
08.02.2025 22:55,633,741
08.02.2025 22:56,669,790
08.02.2025 22:57,765,636
08.02.2025 22:58,768,620
08.02.2025 22:59,788,730
08.02.2025 23:00,781,658
08.02.2025 23:01,768,807
08.02.2025 23:02,630,625
08.02.2025 23:03,723,636
08.02.2025 23:04,801,669
08.02.2025 23:05,754,765
08.02.2025 23:06,712,774
08.02.2025 23:07,785,743
08.02.2025 23:08,675,719
08.02.2025 23:09,753,727
08.02.2025 23:10,761,731
08.02.2025 23:11,812,628
08.02.2025 23:12,790,711
08.02.2025 23:13,649,642
08.02.2025 23:14,814,695
08.02.2025 23:15,707,724
08.02.2025 23:16,656,817
08.02.2025 23:17,740,773
08.02.2025 23:18,774,624
08.02.2025 23:19,694,627
08.02.2025 23:20,784,694
08.02.2025 23:21,698,633
08.02.2025 23:22,640,650
08.02.2025 23:23,770,744
08.02.2025 23:24,664,658
08.02.2025 23:25,744,729
08.02.2025 23:26,775,764
08.02.2025 23:27,658,673
08.02.2025 23:28,683,647
08.02.2025 23:29,797,737
08.02.2025 23:30,713,625
08.02.2025 23:31,798,705
08.02.2025 23:32,712,740
08.02.2025 23:33,624,729
08.02.2025 23:34,635,738
08.02.2025 23:35,687,692
08.02.2025 23:36,660,649
08.02.2025 23:37,691,801
08.02.2025 23:38,758,782
08.02.2025 23:39,688,647
08.02.2025 23:40,748,698
08.02.2025 23:41,762,644
08.02.2025 23:42,789,795
08.02.2025 23:43,702,674
08.02.2025 23:44,760,810
08.02.2025 23:45,620,767
08.02.2025 23:46,772,668
08.02.2025 23:47,745,663
08.02.2025 23:48,800,631
08.02.2025 23:49,776,784
08.02.2025 23:50,770,731
08.02.2025 23:51,720,690
08.02.2025 23:52,651,650
08.02.2025 23:53,753,673
08.02.2025 23:54,759,621
08.02.2025 23:55,736,656
08.02.2025 23:56,658,781
08.02.2025 23:57,763,732
08.02.2025 23:58,790,667
08.02.2025 23:59,782,634
09.02.2025 00:00,777,700
09.02.2025 00:01,651,638
09.02.2025 00:02,636,725
09.02.2025 00:03,671,729
09.02.2025 00:04,630,663
09.02.2025 00:05,785,702
09.02.2025 00:06,726,654
09.02.2025 00:07,799,745
09.02.2025 00:08,712,692
09.02.2025 00:09,761,620
09.02.2025 00:10,790,757
09.02.2025 00:11,806,752
09.02.2025 00:12,784,814
09.02.2025 00:13,773,644
09.02.2025 00:14,783,655
09.02.2025 00:15,756,653
09.02.2025 00:16,683,643
09.02.2025 00:17,700,770
09.02.2025 00:18,788,696
09.02.2025 00:19,718,683
09.02.2025 00:20,629,623
09.02.2025 00:21,782,782
09.02.2025 00:22,724,729
09.02.2025 00:23,646,797
09.02.2025 00:24,670,803
09.02.2025 00:25,710,703
09.02.2025 00:26,728,640
09.02.2025 00:27,726,721
09.02.2025 00:28,641,642
09.02.2025 00:29,662,625
09.02.2025 00:30,635,701
09.02.2025 00:31,701,719
09.02.2025 00:32,648,760
09.02.2025 00:33,789,793
09.02.2025 00:34,793,768
09.02.2025 00:35,808,785
09.02.2025 00:36,641,779
09.02.2025 00:37,652,765
09.02.2025 00:38,648,798
09.02.2025 00:39,649,722
09.02.2025 00:40,667,700
09.02.2025 00:41,620,790
09.02.2025 00:42,817,779
09.02.2025 00:43,644,753
09.02.2025 00:44,809,692
09.02.2025 00:45,753,767
09.02.2025 00:46,687,759
09.02.2025 00:47,636,653
09.02.2025 00:48,677,633
09.02.2025 00:49,681,677
09.02.2025 00:50,702,627
09.02.2025 00:51,642,759
09.02.2025 00:52,702,624
09.02.2025 00:53,662,806
09.02.2025 00:54,653,739
09.02.2025 00:55,750,725
09.02.2025 00:56,674,706
09.02.2025 00:57,743,780
09.02.2025 00:58,732,699
09.02.2025 00:59,659,659
09.02.2025 01:00,740,649
09.02.2025 01:01,722,681
09.02.2025 01:02,654,747
09.02.2025 01:03,735,753
09.02.2025 01:04,742,753
09.02.2025 01:05,773,730
09.02.2025 01:06,624,668
09.02.2025 01:07,688,698
09.02.2025 01:08,647,625
09.02.2025 01:09,719,694
09.02.2025 01:10,791,778
09.02.2025 01:11,815,784
09.02.2025 01:12,807,761
09.02.2025 01:13,716,742
09.02.2025 01:14,709,722
09.02.2025 01:15,808,811
09.02.2025 01:16,645,668
09.02.2025 01:17,670,676
09.02.2025 01:18,629,739
09.02.2025 01:19,768,801
09.02.2025 01:20,744,677
09.02.2025 01:21,748,765
09.02.2025 01:22,770,758
09.02.2025 01:23,805,796
09.02.2025 01:24,818,731
09.02.2025 01:25,814,657
09.02.2025 01:26,731,640
09.02.2025 01:27,809,769
09.02.2025 01:28,637,742
09.02.2025 01:29,702,743
09.02.2025 01:30,690,621
09.02.2025 01:31,751,757
09.02.2025 01:32,794,681
09.02.2025 01:33,760,756
09.02.2025 01:34,631,812
09.02.2025 01:35,628,656
09.02.2025 01:36,645,704
09.02.2025 01:37,642,818
09.02.2025 01:38,745,679
09.02.2025 01:39,654,643
09.02.2025 01:40,818,657
09.02.2025 01:41,620,730
09.02.2025 01:42,757,689
09.02.2025 01:43,816,675
09.02.2025 01:44,674,693
09.02.2025 01:45,641,757
09.02.2025 01:46,628,791
09.02.2025 01:47,644,653
09.02.2025 01:48,774,733
09.02.2025 01:49,804,668
09.02.2025 01:50,705,746
09.02.2025 01:51,774,762
09.02.2025 01:52,794,710
09.02.2025 01:53,715,813
09.02.2025 01:54,704,697
09.02.2025 01:55,751,714
09.02.2025 01:56,643,735
09.02.2025 01:57,671,631
09.02.2025 01:58,712,705
09.02.2025 01:59,648,714
09.02.2025 02:00,801,696
09.02.2025 02:01,745,642
09.02.2025 02:02,729,742
09.02.2025 02:03,794,712
09.02.2025 02:04,653,643
09.02.2025 02:05,766,681
09.02.2025 02:06,670,729
09.02.2025 02:07,628,659
09.02.2025 02:08,708,724
09.02.2025 02:09,732,817
09.02.2025 02:10,748,705
09.02.2025 02:11,756,621
09.02.2025 02:12,809,706
09.02.2025 02:13,730,705
09.02.2025 02:14,665,700
09.02.2025 02:15,644,730
09.02.2025 02:16,646,813
09.02.2025 02:17,635,770
09.02.2025 02:18,741,701
09.02.2025 02:19,678,681
09.02.2025 02:20,819,768
09.02.2025 02:21,795,750
09.02.2025 02:22,715,796
09.02.2025 02:23,736,783
09.02.2025 02:24,693,734
09.02.2025 02:25,800,683
09.02.2025 02:26,641,636
09.02.2025 02:27,793,640
09.02.2025 02:28,688,806
09.02.2025 02:29,761,807
09.02.2025 02:30,683,717
09.02.2025 02:31,729,728
09.02.2025 02:32,685,712
09.02.2025 02:33,722,714
09.02.2025 02:34,819,704
09.02.2025 02:35,732,747
09.02.2025 02:36,636,695
09.02.2025 02:37,734,673
09.02.2025 02:38,748,641
09.02.2025 02:39,767,691
09.02.2025 02:40,642,638
09.02.2025 02:41,779,655
09.02.2025 02:42,761,644
09.02.2025 02:43,817,624
09.02.2025 02:44,756,805
09.02.2025 02:45,729,643
09.02.2025 02:46,723,786
09.02.2025 02:47,747,710
09.02.2025 02:48,754,764
09.02.2025 02:49,803,638
09.02.2025 02:50,816,786
09.02.2025 02:51,688,788
09.02.2025 02:52,725,764
09.02.2025 02:53,667,628
09.02.2025 02:54,628,667
09.02.2025 02:55,645,713
09.02.2025 02:56,808,755
09.02.2025 02:57,729,784
09.02.2025 02:58,643,646
09.02.2025 02:59,817,783
09.02.2025 03:00,697,693
09.02.2025 03:01,693,706
09.02.2025 03:02,764,638
09.02.2025 03:03,750,730
09.02.2025 03:04,721,685
09.02.2025 03:05,680,794
09.02.2025 03:06,767,704
09.02.2025 03:07,814,783
09.02.2025 03:08,752,636
09.02.2025 03:09,631,699
09.02.2025 03:10,623,637
09.02.2025 03:11,758,679
09.02.2025 03:12,745,742
09.02.2025 03:13,799,675
09.02.2025 03:14,721,813
09.02.2025 03:15,701,787
09.02.2025 03:16,716,810
09.02.2025 03:17,641,815
09.02.2025 03:18,627,740
09.02.2025 03:19,629,727
09.02.2025 03:20,630,792
09.02.2025 03:21,799,721
09.02.2025 03:22,725,735
09.02.2025 03:23,633,649
09.02.2025 03:24,722,730
09.02.2025 03:25,717,747
09.02.2025 03:26,634,781
09.02.2025 03:27,701,680
09.02.2025 03:28,787,693
09.02.2025 03:29,736,787
09.02.2025 03:30,792,775
09.02.2025 03:31,777,799
09.02.2025 03:32,759,783
09.02.2025 03:33,626,743
09.02.2025 03:34,635,642
09.02.2025 03:35,742,745
09.02.2025 03:36,701,696
09.02.2025 03:37,715,664
09.02.2025 03:38,725,721
09.02.2025 03:39,782,644
09.02.2025 03:40,687,771
09.02.2025 03:41,737,704
09.02.2025 03:42,753,749
09.02.2025 03:43,751,752
09.02.2025 03:44,705,795
09.02.2025 03:45,641,725
09.02.2025 03:46,715,735
09.02.2025 03:47,657,743
09.02.2025 03:48,639,696
09.02.2025 03:49,819,766
09.02.2025 03:50,801,682
09.02.2025 03:51,667,804
09.02.2025 03:52,754,714
09.02.2025 03:53,769,770
09.02.2025 03:54,756,803
09.02.2025 03:55,729,806
09.02.2025 03:56,683,794
09.02.2025 03:57,695,718
09.02.2025 03:58,783,722
09.02.2025 03:59,624,788
09.02.2025 04:00,726,797
09.02.2025 04:01,652,765
09.02.2025 04:02,678,768
09.02.2025 04:03,624,623
09.02.2025 04:04,728,626
09.02.2025 04:05,632,775
09.02.2025 04:06,808,665
09.02.2025 04:07,689,797
09.02.2025 04:08,785,681
09.02.2025 04:09,763,780
09.02.2025 04:10,662,777
09.02.2025 04:11,774,634
09.02.2025 04:12,746,755
09.02.2025 04:13,748,664
09.02.2025 04:14,641,816
09.02.2025 04:15,812,622
09.02.2025 04:16,800,766
09.02.2025 04:17,671,783
09.02.2025 04:18,671,624
09.02.2025 04:19,707,788
09.02.2025 04:20,639,712
09.02.2025 04:21,653,791
09.02.2025 04:22,669,691
09.02.2025 04:23,779,686
09.02.2025 04:24,766,665
09.02.2025 04:25,712,634
09.02.2025 04:26,694,655
09.02.2025 04:27,768,732
09.02.2025 04:28,721,819
09.02.2025 04:29,731,675
09.02.2025 04:30,674,740
09.02.2025 04:31,695,660
09.02.2025 04:32,769,723
09.02.2025 04:33,717,678
09.02.2025 04:34,751,729
09.02.2025 04:35,718,728
09.02.2025 04:36,646,727
09.02.2025 04:37,799,666
09.02.2025 04:38,788,812
09.02.2025 04:39,815,693
09.02.2025 04:40,766,735
09.02.2025 04:41,721,664
09.02.2025 04:42,648,705
09.02.2025 04:43,620,728
09.02.2025 04:44,770,789
09.02.2025 04:45,736,778
09.02.2025 04:46,719,807
09.02.2025 04:47,700,656
09.02.2025 04:48,743,791
09.02.2025 04:49,659,775
09.02.2025 04:50,628,705
09.02.2025 04:51,660,657
09.02.2025 04:52,730,802
09.02.2025 04:53,736,691
09.02.2025 04:54,680,744
09.02.2025 04:55,663,813
09.02.2025 04:56,651,782
09.02.2025 04:57,739,673
09.02.2025 04:58,705,755
09.02.2025 04:59,766,754
09.02.2025 05:00,642,654
09.02.2025 05:01,792,730
09.02.2025 05:02,707,696
09.02.2025 05:03,776,808
09.02.2025 05:04,717,670
09.02.2025 05:05,803,789
09.02.2025 05:06,794,778
09.02.2025 05:07,739,777
09.02.2025 05:08,751,685
09.02.2025 05:09,711,711
